﻿Data Class Number,USCDI Data Element,Category Code,ValueSet Name,VSAC Link,VSAC OID,Clinical Judgement,Panel,Panel Item,Comment,USCoreStarterCodes,Gravity
,Functional Status,functional-status,Domestic Duties or Household Tasks (ADL/IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.960/expansion,2.16.840.1.113762.1.4.1222.960,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Dressing (ADL or IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.955/expansion,2.16.840.1.113762.1.4.1222.955,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Fall Risk,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.711/expansion,2.16.840.1.113762.1.4.1222.711,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Gait Quality,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.826/expansion,2.16.840.1.113762.1.4.1222.826,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Sit to Stand Ability,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.836/expansion,2.16.840.1.113762.1.4.1222.836,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Stair Use (ADL or IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.963/expansion,2.16.840.1.113762.1.4.1222.963,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Telephone Use (ADL or IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.961/expansion,2.16.840.1.113762.1.4.1222.961,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Toileting (ADL or IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.956/expansion,2.16.840.1.113762.1.4.1222.956,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Transferring (ADL or IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.957/expansion,2.16.840.1.113762.1.4.1222.957,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Walking or ambulation/locomotion (ADL/IADL),https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.958/expansion,2.16.840.1.113762.1.4.1222.958,FALSE,FALSE,TRUE,,FALSE,
,Functional Status,functional-status,Functional Status Clinician Interpretation,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1007/expansion,2.16.840.1.113762.1.4.1222.1007,TRUE,FALSE,FALSE,,TRUE,
,Functional Status,functional-status,Functional Status Related Questionnaire Panel Codes,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1586/expansion,2.16.840.1.113762.1.4.1222.1586,FALSE,TRUE,FALSE,,TRUE,
3,Mental/Cognitive Status.,cognitive-status,Cognitive Health Related Questionnaire Panel Codes,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1584/expansion,2.16.840.1.113762.1.4.1222.1584,FALSE,TRUE,FALSE,,TRUE,
,Mental/Cognitive Status.,cognitive-status,Cognitive Function Clinical Assessment,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.981/expansion,2.16.840.1.113762.1.4.1222.981,FALSE,FALSE,TRUE,,TRUE,
,Mental/Cognitive Status.,cognitive-status,Cognitive Function Clinician Interpretation,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.979/expansion,2.16.840.1.113762.1.4.1222.979,TRUE,FALSE,FALSE,,TRUE,
4,Disability Status,disability-status,Disability Status Assessment,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1099.49/expansion,2.16.840.1.113762.1.4.1099.49,FALSE,FALSE,TRUE,,TRUE,
5,Physical Activity,activity,US Core PA Codes,https://healthedata1.github.io/USCDI4-Sandbox/ValueSet-uscore-pa-codes.html,-,FALSE,FALSE,TRUE,,TRUE,
6,Alcohol Use,social-history,Substance Use,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1015/expansion,2.16.840.1.113762.1.4.1222.1015,FALSE,FALSE,TRUE,,TRUE,
,Alcohol Use,social-history,Alcohol Use Related Questionnaire Panel Codes,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1585/expansion,2.16.840.1.113762.1.4.1222.1585,FALSE,TRUE,FALSE,,TRUE,
7,Substance Use,social-history,Substance Use,https://vsac.nlm.nih.gov/valueset/2.16.840.1.113762.1.4.1222.1015/expansion,2.16.840.1.113762.1.4.1222.1015,FALSE,FALSE,TRUE,,TRUE,
