DSTU2 Profile,Equivalent US Core Profile,Version Added,Version Retired,Notes
     -,US Core Observation Social History Profile,5.0.0,6.0.0,Superseded by US Core Simple Observation Profile in version 6.0.0
     -,US Core Observation Survey Profile,5.0.0,6.0.0,Superseded by US Core Observation Screening Assessment Profile in version 6.0.0
     -,US Core Observation SDOH Assessment Profile,5.0.0,6.0.0,Superseded by US Core Observation Screening Assessment Profile in version 6.0.0
     -,US Core Observation Clinical Test Result Profile,5.0.0,6.0.0,Superseded by US Core Observation Clinical Result Profile in version 6.0.0
     -,US Core Observation Imaging Result Profile,5.0.0,6.0.0,Superseded by US Core Observation Clinical Result Profile in version 6.0.0
     -,US Core QuestionnaireResponse Profile,5.0.0,,
     -,US Core RelatedPerson Profile,5.0.0,,
     -,US Core ServiceRequest Profile,5.0.0,,
     -,US Core Coverage Profile,6.0.0,,
     -,US Core Observation Occupation Profile,6.0.0,,
     -,US Core Observation Pregnancy Status Profile,6.0.0,,
     -,US Core Observation Pregnancy Intent Profile,6.0.0,,
     -,US Core Observation Clinical Result Profile,6.0.0,,Replaces US Core Observation Clinical Test Result Profile and US Core Observation Imaging Result Profile
     -,US Core Observation Screening Assessment Profile,6.0.0,,Replaces US Core Observation Survey Profile and US Core Observation SDOH Assessment Profile
     -,US Core MedicationDispense Profile,6.0.0,,
     -,US Core Simple Observation Profile,6.0.0,,Replaces US Core Observation Social History Profile
     -,US Core Specimen Profile,6.0.0,,
     -,US Core Average Blood Pressure Profile,7.0.0,,
     -,US Core Care Experience Preference Profile,7.0.0,,
     -,US Core Treatment Intervention Preference Profile,7.0.0,,
     -,US Core Observation ADI Documentation Profile,8.0.0,,
     -,US Core ADI DocumentReference Profile,8.0.0,,
**Extensions**,,,,
Sex of patient assigned at birth,US Core Birth Sex Extension,3.1.1*,,After version 6.0.0 this extension is no longer a USCDI requirement.
Argonaut ethnicity Extension,US Core Ethnicity Extension,3.1.1*,,
Argonaut Race Extension,US Core Race Extension,3.1.1*,,
     -,US Core Direct email Extension,3.1.1*,,
     -,US Core Extension Questionnaire URI,5.0.0,,
     -,US Core Gender Identity Extension,5.0.0,,After version 7.0.0 this extension is no longer a USCDI requirement and has been deprecated.
     -,US Core Tribal Affiliation Extension,6.0.0,,
     -,US Core Jurisdiction Extension,6.0.0,,
     -,US Core USCDI Requirements Extension,6.0.0,,This extension is only used on US Core Profile StructureDefinition elements
     -,US Core Sex Extension,6.1.0,,Substantively redefined in version 8.0.0
     -,US Core Medication Adherence Extension,7.0.0,,
     ,US Core Authentication Time Extension,8.0.0,,
     -,US Core Interpreter Needed Extension,8.0.0,,
,,,,\* 3.1.1  *or prior* version of US Core
