Is_New,ID*,key,URL*,rel_url,requirement,conformance,update_verb,actor,certifiers_only,Sub-Requirement(s),conditionality,Conditionality Details,Verifiable?,Verifiability Details,Planning To Test?,Planning To Test Details,Page,Section,context,Verb Guess,Actor Guess,Section #,Grouping,Priority,Test Plan,Questions,Notes,In Test,Column1
,12,CONF-0012,https://hl7.org/fhir/us/core/STU8/general-requirements.html#profile-support--interaction-support,general-requirements.html#profile-support--interaction-support,A Server that certifies to the [21st Century Cures Act for accessing patient data](https://www.federalregister.gov/d/2020-07419/p-1177) **SHALL** implement all components in the ... the US Core CapabilityStatement [[Definition](https://hl7.org/fhir/us/core/CapabilityStatement-us-core-Server.html)] .,SHALL,must to **SHALL**,Server,TRUE,,TRUE,,Yes,,No,This requirement is specific to testing for the 21st Century Cures Act and is not relevant to the IG tests,general-requirements,profile-support--interaction-support,General Requirements: Profile Support  Interaction Support,,Server,2.1.2.2,,,,,This requirement is re-stated as a part of (g)(10) and is not tested as a part of US Core,n,
,13,CONF-0013,https://hl7.org/fhir/us/core/STU8/general-requirements.html#claiming-conformance-to-a-us-core-profile,general-requirements.html#claiming-conformance-to-a-us-core-profile,"[To claim conformance to a US Core Profile] a conformant Server: 

**SHALL** Be able to populate all profile data elements that are mandatory and/or flagged as Must Support as defined by that profile’s StructureDefinition.",SHALL,,Server,,,FALSE,,,,,,general-requirements,claiming-conformance-to-a-us-core-profile,General Requirements: Claiming Conformance To A US Core Profile,SHALL,Server,2.1.2.2,,,,,,y,
,14,CONF-0014,https://hl7.org/fhir/us/core/STU8/general-requirements.html#claiming-conformance-to-a-us-core-profile,general-requirements.html#claiming-conformance-to-a-us-core-profile,"[To claim conformance to a US Core Profile] a conformant Server: 

**SHOULD** declare conformance with the US [Core Server Capability Statement](https://hl7.org/fhir/us/core/CapabilityStatement-us-core-Server.html) by including its official URL in the Server’s `CapabilityStatement.instantiates` element: `http://hl7.org/fhir/us/core/CapabilityStatement/us-core-Server`",SHOULD,,Server,,,FALSE,,,,,,general-requirements,claiming-conformance-to-a-us-core-profile,General Requirements: Claiming Conformance To A US Core Profile,SHOULD,Server,2.1.2.2,,,,,,,
,15,CONF-0015,https://hl7.org/fhir/us/core/STU8/general-requirements.html#claiming-conformance-to-a-us-core-profile,general-requirements.html#claiming-conformance-to-a-us-core-profile,"[To claim conformance to a US Core Profile] a conformant Server: 

**SHALL** specify the full capability details from the US Core CapabilityStatement it claims to implement.",SHALL,,Server,,"hl7.fhir.us.core_8.0.0@16,17",FALSE,Both requirements 16 and 17 must be met,,,,,general-requirements,claiming-conformance-to-a-us-core-profile,General Requirements: Claiming Conformance To A US Core Profile,SHALL,Server,2.1.2.2,,,,,,y,
,16,CONF-0016,https://hl7.org/fhir/us/core/STU8/general-requirements.html#claiming-conformance-to-a-us-core-profile,general-requirements.html#claiming-conformance-to-a-us-core-profile,"[To claim conformance to a US Core Profile] a conformant Server: 

**SHALL**… Declare support for the US Core Profile by including its official URL in the Server’s CapabilityStatement.rest.resource.supportedProfile element.",SHALL,,Server,,,FALSE,,,,,,general-requirements,claiming-conformance-to-a-us-core-profile,General Requirements: Claiming Conformance To A US Core Profile,SHALL,Server,2.1.2.2,,,,,,y,
,17,CONF-0017,https://hl7.org/fhir/us/core/STU8/general-requirements.html#claiming-conformance-to-a-us-core-profile,general-requirements.html#claiming-conformance-to-a-us-core-profile,"[To claim conformance to a US Core Profile] a conformant Server: 

**SHALL**… Declare support for the US Core Profile’s FHIR RESTful transactions.",SHALL,,Server,,,FALSE,,,,,,general-requirements,claiming-conformance-to-a-us-core-profile,General Requirements: Claiming Conformance To A US Core Profile,SHALL,Server,2.1.2.2,,,,,,n,
,18,CONF-0018,https://hl7.org/fhir/us/core/STU8/general-requirements.html#required-bindings-for-coded-elements,general-requirements.html#required-bindings-for-coded-elements,[Required binding](http://hl7.org/fhir/R4/terminologies.html#required) to a ValueSet definition means that one of the codes from the specified ValueSet **SHALL** be used.,SHALL,,Server,,"hl7.fhir.us.core_8.0.0@21,22",FALSE,Both 21 and 22 should be true,,,,,general-requirements,required-bindings-for-coded-elements,General Requirements: Required Bindings For Coded Elements,SHALL,,2.1.3.1,,,,,,y,
,19,CONF-0019,https://hl7.org/fhir/us/core/STU8/general-requirements.html#required-bindings-for-coded-elements,general-requirements.html#required-bindings-for-coded-elements,"For `CodeableConcept`, which permits multiple codings and a text element, this [[Required binding](http://hl7.org/fhir/R4/terminologies.html#required) to a ValueSet definition] rule applies to at least one of the codings",SHALL,,Server,,hl7.fhir.us.core_8.0.0@18,TRUE,,,,,,general-requirements,required-bindings-for-coded-elements,General Requirements: Required Bindings For Coded Elements,,,,,,,,,y,
,20,CONF-0020,https://hl7.org/fhir/us/core/STU8/general-requirements.html#required-bindings-for-coded-elements,general-requirements.html#required-bindings-for-coded-elements,"For a [[required binding](http://hl7.org/fhir/R4/terminologies.html#required) to a ValueSet definition], a `CodeableConcept`which permits multiple codings and a text element … [using] only text is not valid.",SHALL-NOT,,Server,,hl7.fhir.us.core_8.0.0@18,FALSE,,,,,,general-requirements,required-bindings-for-coded-elements,General Requirements: Required Bindings For Coded Elements,,,,,,,,,n,
,21,CONF-0021,https://hl7.org/fhir/us/core/STU8/general-requirements.html#required-bindings-for-coded-elements,general-requirements.html#required-bindings-for-coded-elements,[When populating a coded element with a [required binding](http://hl7.org/fhir/R4/terminologies.html#required] to a ValueSet definition] US Core Responders **SHALL** provide a code exclusively from [the required binding] ValueSet,SHALL,,Server,,,FALSE,when populating a code element with a required binding,,,,,general-requirements,required-bindings-for-coded-elements,General Requirements: Required Bindings For Coded Elements,SHALL,Server,,,,,,,y,
,22,CONF-0022,https://hl7.org/fhir/us/core/STU8/general-requirements.html#required-bindings-for-coded-elements,general-requirements.html#required-bindings-for-coded-elements,[When populating a coded element with a [required binding](http://hl7.org/fhir/R4/terminologies.html#required) to a ValueSet definition] US Core Requestors **SHALL** be capable of processing the code [from the required binding ValueSet],SHALL,,Client,,,FALSE,when populating a code element with a required binding,,,,,general-requirements,required-bindings-for-coded-elements,General Requirements: Required Bindings For Coded Elements,SHALL,Client,,,,,,,,
,23,CONF-0023,https://www.hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,https://www.hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,[Extensible binding] (http://hl7.org/fhir/R4/terminologies.html#extensible) means that one of the codes from the specified ValueSet **SHALL** be used if an applicable concept is present.,SHALL,,Server,,,TRUE,when populating a coded element with an extensible binding,,,,,general-requirements,extensible-binding-for-coded-elements,General Requirements: Extensible Binding For Coded Elements,SHALL,,2.1.3.3,,,,,,y,
,24,CONF-0024,https://hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,general-requirements.html#extensible-binding-for-coded-elements,"[When using an [extensible Binding] (http://hl7.org/fhir/R4/terminologies.html#extensible)] If no suitable code exists in the [extensible] ValueSet, alternate code(s) may be provided.",MAY,,Server,,,TRUE,when populating a coded element with an extensible binding,,,,,general-requirements,extensible-binding-for-coded-elements,General Requirements: Extensible Binding For Coded Elements,MAY,,,,,,,,,
,25,CONF-0025,https://hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,general-requirements.html#extensible-binding-for-coded-elements,"For `CodeableConcept`, which permits multiple codings and a text element, [the [extensible binding] (http://hl7.org/fhir/R4/terminologies.html#extensible)] rule applies to at least one of the codings.",DEPRECATED,,Server,,,TRUE,when populating a coded element with an extensible binding,,,,,general-requirements,extensible-binding-for-coded-elements,General Requirements: Extensible Binding For Coded Elements,,,,,,,,"This is definitional, so marking as DEPRECATED",,
,26,CONF-0026,https://hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,general-requirements.html#extensible-binding-for-coded-elements,"For `CodeableConcept` [with an [extensible binding] (http://hl7.org/fhir/R4/terminologies.html#extensible) … If only text is available and it has no conceptual overlap with the bound coded values, then just text may be used.",MAY,,Server,,"hl7.fhir.us.core_8.0.0@23,24",TRUE,when populating a coded element with an extensible binding,,,,,general-requirements,extensible-binding-for-coded-elements,General Requirements: Extensible Binding For Coded Elements,MAY,,,,,,,,,
,27,CONF-0027,https://hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,general-requirements.html#extensible-binding-for-coded-elements,"When claiming conformance to ... [to a US Core profile extensible binding rule, a] US Core Responders Shall provide:
A code from … [the] valueset 'DataElement.code.code' if the concept exists in the valueset [for a DataElement.code that has an extensible binding]
Or an alternative code if the concept does not exist in the valueset [for a DataElement.code that has an extensible binding]
Or text in ... `[DataElement.code.text]’ if only text is available [for a DataElement.code that has an extensible binding]",SHALL,,Server,,,TRUE,"One of the provisions (code, alt code, or text) Shall be met",,,,,general-requirements,extensible-binding-for-coded-elements,General Requirements: Extensible Binding For Coded Elements,SHALL,Server,,,,,,,y,
,28,CONF-0028,https://hl7.org/fhir/us/core/STU8/general-requirements.html#extensible-binding-for-coded-elements,general-requirements.html#extensible-binding-for-coded-elements,US Core Requestors SHALL be capable of processing the code in ['DataElement.code.code' or text in 'DataElement.code.text' for a DataElement.code that has an extensible binding],SHALL,,Client,,,TRUE,,,,,,general-requirements,extensible-binding-for-coded-elements,General Requirements: Extensible Binding For Coded Elements,SHALL,Client,,,,,,,,
,29,CONF-0029,https://hl7.org/fhir/us/core/STU8/general-requirements.html#translations,general-requirements.html#translations,"Alternate codes may be provided in addition to the standard codes defined in required or extensible ValueSets. These alternate codes are called ""additional codings"".",MAY,,Server,,,FALSE,,,,,,general-requirements,translations,General Requirements: Translations,MAY,,,,,,,"Change in v8.0.0: ""translations"" becomes ""additional codings""",,
,30,CONF-0030,https://hl7.org/fhir/us/core/STU8/general-requirements.html#translations,general-requirements.html#translations,[The additional codings] may be equivalent to or narrower in meaning than the standard concept code.,MAY,,Server,,,FALSE,,,,,,general-requirements,translations,General Requirements: Translations,MAY,,,,,,,"Change in v8.0.0: ""translations"" becomes ""additional codings""",,
,31,CONF-0031,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,Servers ... SHALL be able to process [elements that are] [Mandatory](https://hl7.org/fhir/us/core/must-support.html) or [Must Support elements](https://hl7.org/fhir/us/core/must-support.html),DEPRECATED,,Server,,,TRUE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,SHALL,Server,,,,,,Duplicate to req 1,n,
,32,CONF-0032,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,Clients SHALL be able to process [elements that are] [Mandatory](https://hl7.org/fhir/us/core/must-support.html) or [Must Support elements](https://hl7.org/fhir/us/core/must-support.html),SHALL,,Client,,,TRUE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,SHALL,Client,,,,,,,,
,33,CONF-0033,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,"Not all modifier elements are Mandatory or Must Support, and there is no requirement for supporting them",MAY,,Server,,,FALSE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,,,,,,,,,,
,34,CONF-0034,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,"Servers **MAY** communicate a system-wide profile in their CapabilityStatement to identify which additional elements, including modifier elements, they support",MAY,**MAY** to may,Server,,,FALSE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,MAY,Server,,,,,,,,
,35,CONF-0035,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,receivers SHOULD accept instances that ... contain unexpected data elements  [[definition](http://hl7.org/fhir/R4/conformance-rules.html#isModifier)],SHOULD,,Client,,,TRUE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,SHOULD,,,,,,,,,
,36,CONF-0036,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,receivers SHOULD [NOT] accept instances that ... contain unexpected data elements … when those elements are modifier elements [[definition](http://hl7.org/fhir/R4/conformance-rules.html#isModifier)],SHOULD-NOT,,Client,,,TRUE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,SHOULD,,,,,,,,,
,37,CONF-0037,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,"Unless a Client determines they can process [a resource with a modifier] safely, rejection is typically the only safe action if unexpected modifier elements are present.",SHOULD,,Client,,,FALSE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,,Client,,,,,,,,
,38,CONF-0038,https://hl7.org/fhir/us/core/STU8/general-requirements.html#modifier-elements,general-requirements.html#modifier-elements,Implementers SHOULD review the “Key Elements Tab” on the US Core profile pages.,DEPRECATED,**SHOULD** to should,,,,FALSE,,,,,,general-requirements,modifier-elements,General Requirements: Modifier Elements,SHOULD,,,,,,,"SHOULD requirement for implementers not systems themselves, so marking as deprecated",,
,39,CONF-0039,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"If the source system does not have data for an element with a minimum cardinality = 0 (including elements labeled Must Support), the data element **SHALL** be omitted from the resource.",SHALL,,Server,,,TRUE,"If the source system does not have data for an element with a minimum cardinality = 0 (including elements labeled Must Support),",,,,,general-requirements,missing-data,General Requirements: Missing Data,SHALL,,2.1.6,,,,,,y,
,40,CONF-0040,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"If the data element is a Mandatory element (in other words, where the minimum cardinality is > 0), it **SHALL** be present even if the source system does not have data.",SHALL,,Server,,,TRUE," if the data element is a Mandatory element (in other words, where the minimum cardinality is > 0)",,,,,general-requirements,missing-data,General Requirements: Missing Data,SHALL,,,,,,,,y,
,41,CONF-0041,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"For [mandatory] non-coded data elements [where data is not available], use the [DataAbsentReason Extension](http://hl7.org/fhir/R4/extension-data-absent-reason.html) in the data type ... [with] the code `unknown` - The value is expected to exist but is not known.",SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element, the following must occur",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,42,CONF-0042,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[In situations where data is not available] for [mandatory] coded data elements … [with] *example*, *preferred*, or *extensible* binding strengths (CodeableConcept or Coding datatypes) If the source system has text but no coded data, only the text element is used.",SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element, the following must occur",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,43,CONF-0043,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[In situations where data is not available] for [mandatory] coded data elements… [with] *example*, *preferred*, or *extensible* binding strengths (CodeableConcept or Coding datatypes):
For Coding datatypes, the text-only data is represented as a display element",SHALL,,Server,,hl7.fhir.us.core_8.0.0@42,TRUE,"This test should be conducted if requirement 42 is true. If the source system does not have data for a Mandatory element, the following must occur.",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,44,CONF-0044,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[In situations where data is not available] for [mandatory] coded data elements… [with] *example*, *preferred*, or *extensible* binding strengths (CodeableConcept or Coding datatypes): … If there is neither text nor coded data ... [then] use the appropriate “unknown” concept code from the ValueSet if available.",SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element, the following must occur",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,45,CONF-0045,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[In situations where data is not available] for [mandatory] coded data elements… [with] *example*, *preferred*, or *extensible* binding strengths (CodeableConcept or Coding datatypes): … If there is neither text nor coded data ... [then] if the ValueSet does not have the appropriate “unknown” concept code, use unknown from the [DataAbsentReason Code System](http://hl7.org/fhir/R4/codesystem-data-absent-reason.html).",SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element, the following must occur",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,46,CONF-0046,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,[In situations where data is not available] for [mandatory] coded data elements… [with] *required* binding strength (CodeableConcept or code datatypes): use the appropriate “unknown” concept code from the ValueSet if available,SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element, the following must occur",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,47,CONF-0047,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[In situations where data is not available] for [mandatory] coded data elements… [with] *required* binding strength (CodeableConcept or code datatypes): If the ValueSet does not have the appropriate “unknown” concept code, you must use a concept from the ValueSet. Otherwise, the instance will not be conformant",SHALL,,Server,,,TRUE,"Logic: Is status element (AllergyIntolerance.clinicalStatus OR Condition.clinicalStatus OR DocumentReference.status OR
Immunization.status OR
Goal.lifecycleStatus) AND is this status element Mandatory for this resource-specific test AND the source system does not have data for a Mandatory element THEN must use ValueSet. ",,,,,general-requirements,missing-data,General Requirements: Missing Data,,,,,,,,,y,
,48,CONF-0048,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[If the source system does not have data for a Mandatory element for a coded data element with *required* binding strength] If any of these status codes is missing [meaning it lacks an ""unknown"" or otherwise appropriate concept code from the ValueSet, a] 404 HTTP error code and an OperationOutcome **SHALL** be returned in response to a read transaction on the resource.",SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element for a coded data element with *required* binding strength, and the ValueSet does not have the appropriate ""unknown"" or otherwise appropriate concept code from the ValueSet",,,,,general-requirements,missing-data,General Requirements: Missing Data,SHALL,,,,,,,,n,
,49,CONF-0049,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[If the source system does not have data for a Mandatory element for a coded data element with *required* binding strength, and the ValueSet does not have the appropriate ""unknown"" concept code, then] if returning a response to a search, the problematic resource **SHALL** be excluded from the search set",SHALL,,Server,,,TRUE,"If the source system does not have data for a Mandatory element for a coded data element with *required* binding strength, and the ValueSet does not have the appropriate ""unknown"" or otherwise appropriate concept code from the ValueSet",,,,,general-requirements,missing-data,General Requirements: Missing Data,SHALL,,,,,,,,n,
,50,CONF-0050,https://hl7.org/fhir/us/core/STU8/general-requirements.html#missing-data,general-requirements.html#missing-data,"[If the source system does not have data for a Mandatory element for a coded data element with *required* binding strength, and the ValueSet does not have the appropriate ""unknown"" concept code, then] if returning a response to a search, … a *warning* OperationOutcome **SHOULD** be included indicating that other search results were found but could not be compliantly expressed and have been suppressed.",SHOULD,,Server,,,TRUE,"If the source system does not have data for a Mandatory element for a coded data element with *required* binding strength, and the ValueSet does not have the appropriate ""unknown"" or otherwise appropriate concept code from the ValueSet",,,,,general-requirements,missing-data,General Requirements: Missing Data,SHOULD,,,,,,,,,
,51,CONF-0051,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,The [FHIR RESTful Search API](http://hl7.org/fhir/R4/http.html#search) requires that Servers that support search **SHALL** support the HTTP `POST`-based search.,SHALL,,Server,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,SHALL,Server,,,,,,,y,
,52,CONF-0052,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,"For all the supported search interactions in this guide, Servers **SHALL** also support the `GET`-based search.",SHALL,,Server,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,SHALL,Server,,,,,,,y,
,53,CONF-0053,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,When searching using the `token` type searchparameter [(how to search by token)](http://hl7.org/fhir/R4/search.html#token) The Client **SHALL** provide at least a code value,SHALL,,Client,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,SHALL,Client,,,,,,,,
,54,CONF-0054,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,When searching using the `token` type searchparameter [(how to search by token)](http://hl7.org/fhir/R4/search.html#token) The Client … **MAY** provide both the system and code values.,MAY,,Client,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,MAY,Client,,,,,,,,
,55,CONF-0055,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,When searching using the `token` type searchparameter [(how to search by token)](http://hl7.org/fhir/R4/search.html#token) The Server **SHALL** support both [system and code values],SHALL,,Server,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,SHALL,Server,,,,,,,y,
,56,CONF-0056,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,When searching using the `reference` type searchparameter [(how to search by reference)](http://hl7.org/fhir/R4/search.html#reference) The Client **SHALL** provide at least an id value,SHALL,,Client,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,SHALL,Client,,,,,,,,
,57,CONF-0057,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,When searching using the `reference` type searchparameter [(how to search by reference)](http://hl7.org/fhir/R4/search.html#reference) The Client … **MAY** provide both the Type and id values.,MAY,,Client,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,MAY,Client,,,,,,,,
,58,CONF-0058,https://hl7.org/fhir/us/core/STU8/general-requirements.html#fhir-restful-search-api-requirements,general-requirements.html#fhir-restful-search-api-requirements,When searching using the `reference` type searchparameter [(how to search by reference)](http://hl7.org/fhir/R4/search.html#reference) The Server **SHALL** support both [id and Type values],SHALL,,Server,,,FALSE,,,,,,general-requirements,fhir-restful-search-api-requirements,General Requirements: Fhir Restful Search Api Requirements,SHALL,Server,,,,,,,y,
